Anos;Total;Menos de 15;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65 ou mais
2008;20 357;3 588;1 251;4 393;5 377;3 124;1 512;868;237;7;0;0;0
2009;16 899;2 975;1 039;3 649;4 465;2 593;1 256;720;196;6;0;0;0
2010;23 760;4 190;1 460;5 127;6 276;3 644;1 765;1 013;277;8;0;0;0
2011;43 998;10 482;3 277;6 237;6 097;5 075;3 952;3 044;3 032;1 520;611;118;553
2012;51 958;2 843;4 378;10 563;11 022;7 184;5 383;3 753;3 505;1 579;990;248;510
2013;53 786;2 261;2 775;9 722;8 917;6 303;5 821;5 499;4 898;3 047;1 774;942;1 827
2014;49 572;1 917;2 661;8 776;8 122;5 596;5 250;5 159;4 588;3 040;1 723;964;1 776
2015;40 377;2 099;2 705;7 266;8 146;5 601;4 189;3 652;3 147;1 878;1 048;290;356
2016;38 273;2 102;2 502;7 140;7 926;5 448;3 798;3 359;2 594;1 794;1 049;266;295
2017;31 753;1 473;2 225;5 832;5 847;4 284;2 958;3 060;2 389;1 970;1 262;263;190
2018;31 600;1 416;2 190;5 510;5 875;4 047;2 842;3 021;2 446;2 164;1 384;349;356
2019;28 219;1 429;1 873;5 534;5 829;3 551;2 479;2 463;1 819;1 732;1 073;222;215
2020;25 886;1 197;1 660;4 746;4 981;3 109;2 424;2 414;1 779;1 824;1 154;287;311
2021;25 079;1 075;1 482;5 117;5 418;3 034;2 243;2 157;1 468;1 601;1 077;233;174
